tf	n_cells_scored	mean_probability_drop	median_probability_drop	mode	mean_bulk_expr	median_bulk_expr	std_bulk_expr	n_samples	report_status	report_warning
MITF	1257	0.0014364438037163	0.0011200033755034	ranked_fallback	5996.049656659142	5490.64	4164.071789092644	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
MYC	1257	0.0001419834828462	0.0	ranked_fallback	3518.991739503386	2692.78	3321.434386156112	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
FOS	1257	0.0001263903751847	9.032707960121568e-05	ranked_fallback	3345.162353047404	1886.92	4737.234031138896	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
IRF4	1257	2.866289049853536e-05	0.0	ranked_fallback	2351.5773031602707	1972.09	1814.430312837771	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
ATF4	1257	8.218855501743302e-06	0.0	ranked_fallback	6565.9194356659145	5806.25	3229.072602391341	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
AHR	1257	0.0	0.0	ranked_fallback	2674.4343882618514	2009.59	2590.965708699812	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
E2F1	1257	0.0	0.0	ranked_fallback	795.9686821670429	664.268	503.7362934133316	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
FOXM1	1257	0.0	0.0	ranked_fallback	1810.122893905192	1480.95	1340.2771789287312	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
KLF4	1257	0.0	0.0	ranked_fallback	371.23340090293453	234.222	450.2551959732849	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
NFKB1	1257	0.0	0.0	ranked_fallback	1275.7353792325057	1218.45	532.8994481525268	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
RELA	1257	0.0	0.0	ranked_fallback	2409.0972686230252	2212.86	1044.931587609953	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
SMAD3	1257	0.0	0.0	ranked_fallback	1012.8691893905192	881.126	739.4565342292282	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
SOX10	1257	0.0	0.0	ranked_fallback	13643.86553972912	12073.4	7653.517690414367	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
SOX9	1257	0.0	0.0	ranked_fallback	667.7567221218961	217.054	1131.134250317022	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
TEAD1	1257	0.0	0.0	ranked_fallback	2724.865569074492	2379.54	1624.876871718796	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
TEAD4	1257	0.0	0.0	ranked_fallback	491.88987652370207	398.817	330.0182400381249	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
TFAP2A	1257	0.0	0.0	ranked_fallback	6011.431510158013	4189.64	6145.943189077898	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
TFAP2C	1257	0.0	0.0	ranked_fallback	640.9001559819412	242.196	1040.116414747117	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
YAP1	1257	0.0	0.0	ranked_fallback	2353.3496817155756	1972.14	2145.1322848147133	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
JUN	1257	-5.458765760410368e-05	-4.738202481457954e-05	ranked_fallback	2227.2397516930023	1506.29	2135.5133836676905	443.0	diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
STAT1	1257	-7.35609069016446e-05	-6.16368830378411e-05	ranked_fallback					diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
IRF1	1257	-9.537422839928877e-05	0.0	ranked_fallback					diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
STAT3	1257	-0.0001022112468781	-7.736318185580515e-05	ranked_fallback					diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
JUNB	1257	-0.000110336332425	-8.594602062184098e-05	ranked_fallback					diagnostic_only	Fallback perturbation values come from TF-IDF token deletion, not Geneformer. This table is for software inspection only and not for biological ranking.
