tf	n_cells_scored	mean_probability_drop	median_probability_drop	mode	interpretation
MITF	1257	0.001436443803716331	0.0011200033755034422	ranked_fallback	diagnostic_only
MYC	1257	0.00014198348284626282	0.0	ranked_fallback	diagnostic_only
FOS	1257	0.00012639037518472418	9.032707960121567e-05	ranked_fallback	diagnostic_only
IRF4	1257	2.8662890498535362e-05	0.0	ranked_fallback	diagnostic_only
ATF4	1257	8.218855501743302e-06	0.0	ranked_fallback	diagnostic_only
E2F1	1257	0.0	0.0	ranked_fallback	diagnostic_only
KLF4	1257	0.0	0.0	ranked_fallback	diagnostic_only
SOX9	1257	0.0	0.0	ranked_fallback	diagnostic_only
AHR	1257	0.0	0.0	ranked_fallback	diagnostic_only
YAP1	1257	0.0	0.0	ranked_fallback	diagnostic_only
TEAD4	1257	0.0	0.0	ranked_fallback	diagnostic_only
TEAD1	1257	0.0	0.0	ranked_fallback	diagnostic_only
FOXM1	1257	0.0	0.0	ranked_fallback	diagnostic_only
NFKB1	1257	0.0	0.0	ranked_fallback	diagnostic_only
SOX10	1257	0.0	0.0	ranked_fallback	diagnostic_only
RELA	1257	0.0	0.0	ranked_fallback	diagnostic_only
TFAP2C	1257	0.0	0.0	ranked_fallback	diagnostic_only
TFAP2A	1257	0.0	0.0	ranked_fallback	diagnostic_only
SMAD3	1257	0.0	0.0	ranked_fallback	diagnostic_only
JUN	1257	-5.4587657604103676e-05	-4.738202481457954e-05	ranked_fallback	diagnostic_only
STAT1	1257	-7.35609069016446e-05	-6.16368830378411e-05	ranked_fallback	diagnostic_only
IRF1	1257	-9.537422839928877e-05	0.0	ranked_fallback	diagnostic_only
STAT3	1257	-0.0001022112468781591	-7.736318185580515e-05	ranked_fallback	diagnostic_only
JUNB	1257	-0.0001103363324250025	-8.594602062184098e-05	ranked_fallback	diagnostic_only
